Timestamp,Tx,Ty,Tz,Qw,Qx,Qy,Qz
5618268562800719,0.022590714,-0.0015217178,-0.008396743,0.0063823992,-7.4231834E-4,-0.019009322,-0.99979866
5618268596387719,0.022601655,-0.0015271069,-0.008470115,0.0063816495,-7.5167394E-4,-0.018992335,-0.9997989
5618268629976595,0.022600023,-0.0015732883,-0.0082553215,0.006356282,-6.9401506E-4,-0.01905939,-0.9997978
5618268663563595,0.022631802,-0.0015671563,-0.008321524,0.0063806456,-7.023548E-4,-0.01905328,-0.9997979
5618268697149595,0.022664493,-0.0015667628,-0.008393172,0.0063936543,-7.12228E-4,-0.019050717,-0.9997978
5618268730735631,0.022669591,-0.0013550906,-0.008563161,0.0064206054,-6.612912E-4,-0.018992245,-0.9997987
5618268764321631,0.02271489,-0.0013284322,-0.008659209,0.0064159515,-6.405702E-4,-0.018964648,-0.99979925
5618268797907631,0.022767276,-0.001310485,-0.008761447,0.006429821,-6.4343447E-4,-0.018916905,-0.99980015
5618268831493616,0.0226238,-0.0013173022,-0.008681564,0.006424714,-6.171786E-4,-0.018810779,-0.99980223
5618268865079616,0.022673817,-0.001286037,-0.008775385,0.0064373026,-6.236008E-4,-0.018805593,-0.9998021
5618268898665616,0.022745255,-0.0012584238,-0.008874132,0.0064446665,-6.247747E-4,-0.01880458,-0.99980223
5618268932262233,0.022553777,-0.0017210147,-0.008169259,0.006331182,-6.0406025E-4,-0.018997967,-0.9997992
5618268965848233,0.022606585,-0.001727174,-0.008214699,0.006353927,-6.098042E-4,-0.019037426,-0.99979836
5618268999434233,0.022667281,-0.0017425823,-0.008267627,0.0063737724,-6.215547E-4,-0.019022644,-0.9997985
5618269033034080,0.022445075,-0.0019964543,-0.007765603,0.0062619355,-6.143993E-4,-0.019150972,-0.99979675
5618269066621080,0.02248652,-0.0020099808,-0.0077844374,0.0062910654,-6.0670706E-4,-0.01912105,-0.9997971
5618269100207080,0.02253807,-0.0020309798,-0.007807873,0.006325146,-5.83509E-4,-0.019099832,-0.99979746
5618269133801438,0.02247985,-0.0018057714,-0.007854973,0.0062832274,-5.682481E-4,-0.019021451,-0.9997992
5618269167387438,0.022539977,-0.0017862311,-0.007894872,0.006317458,-5.4998905E-4,-0.019005746,-0.99979913
5618269200974438,0.02261252,-0.0017679674,-0.00793985,0.006348392,-5.495213E-4,-0.019005388,-0.999799
5618269234562867,0.022442888,-0.0016352267,-0.00786987,0.0063083344,-5.284599E-4,-0.01912883,-0.999797
5618269268148867,0.022502556,-0.0015742958,-0.007921451,0.0063018687,-5.0159474E-4,-0.0190835,-0.9997978
5618269301735867,0.02256696,-0.00151235,-0.007989859,0.0063160537,-4.893716E-4,-0.019102871,-0.9997974
5618269335316981,0.022288272,-0.0015018368,-0.008099314,0.0063421708,-4.0981057E-4,-0.019149423,-0.9997964
5618269368902981,0.022321245,-0.0014463388,-0.008178904,0.0063709216,-4.218642E-4,-0.019180149,-0.9997957
5618269402488981,0.022358175,-0.0014003445,-0.0082708495,0.006365426,-4.3498282E-4,-0.019141525,-0.9997964
5618269436089568,0.022260316,-0.0015388336,-0.008082034,0.0063008238,-4.3370505E-4,-0.019166201,-0.9997964
5618269469675568,0.02228843,-0.0015030375,-0.008157173,0.006328866,-4.2218692E-4,-0.019149184,-0.9997965
5618269503261568,0.022317588,-0.0014742869,-0.008249518,0.0063250475,-4.232719E-4,-0.019117355,-0.9997971
5618269536851117,0.022026006,-0.0017188429,-0.008066739,0.0062740184,-3.8890145E-4,-0.019186169,-0.99979615
5618269570437117,0.022025956,-0.0017006416,-0.008142683,0.0062908386,-3.866814E-4,-0.019167721,-0.99979633
5618269604023117,0.02203144,-0.0016892881,-0.008232211,0.0062670363,-4.076797E-4,-0.019113421,-0.99979746
5618269637623024,0.022041386,-0.0017162047,-0.008230447,0.0061681718,-3.7018023E-4,-0.018991262,-0.99980056
5618269671210024,0.02205854,-0.0017199665,-0.0082977535,0.0061510336,-3.5997434E-4,-0.01897782,-0.999801
5618269704796024,0.022082506,-0.0017282157,-0.008377819,0.0061481018,-3.7518726E-4,-0.018978357,-0.9998009
5618269738383004,0.022037463,-0.0018704301,-0.008285856,0.006125232,-3.6176806E-4,-0.019047827,-0.9997997
5618269771969004,0.022071382,-0.0018878083,-0.00835661,0.0061324285,-3.7763244E-4,-0.019055009,-0.9997995
