Timestamp,Tx,Ty,Tz,Qx,Qy,Qz,Qw
1898832182502188,0.36465544,-0.04457944,0.21052006,-0.012451956,0.05320306,-0.00967598,0.9984592
1898832216089188,0.3761602,-0.047697883,0.21785253,-0.0131181665,0.052952792,-0.010530412,0.9984552
1898832249675188,0.387685,-0.05115268,0.2250614,-0.011499677,0.051704247,-0.010179073,0.99854434
1898832283223680,0.40213555,-0.055404827,0.23185448,-0.012094896,0.049226686,-0.009827971,0.99866605
1898832316809680,0.41470656,-0.05936,0.23766565,-0.0139619745,0.047894303,-0.010897279,0.9986954
1898832350395680,0.42777145,-0.06326302,0.24357377,-0.014844714,0.048085153,-0.011915863,0.9986618
1898832383944967,0.44180894,-0.06693317,0.24877575,-0.015514435,0.047703013,-0.012031376,0.9986686
1898832417530967,0.45551667,-0.070476525,0.2545317,-0.016236853,0.048203107,-0.01258111,0.99862635
1898832451117967,0.46960908,-0.07377104,0.26038918,-0.016189357,0.049482405,-0.013344377,0.99855447
1898832484614278,0.44497195,-0.066806816,0.24018745,-0.014323885,0.0509139,-0.012565672,0.99852115
1898832518200278,0.45794943,-0.069844544,0.24462792,-0.01293386,0.05218982,-0.012184322,0.99847907
1898832551786278,0.47130552,-0.07300322,0.24855131,-0.012478478,0.05390639,-0.012503475,0.9983897
1898832585380054,0.44461885,-0.06541555,0.2009923,-0.0121687,0.055472203,-0.012793362,0.99830407
1898832618967054,0.45716974,-0.068700135,0.20201385,-0.01258711,0.05710452,-0.014114112,0.998189
1898832652552054,0.4698695,-0.07224697,0.20258373,-0.013051748,0.05880589,-0.015468717,0.99806416
1898832686163383,0.45209894,-0.06707756,0.18394034,-0.013761947,0.061771512,-0.016302496,0.99786234
1898832719749383,0.46354303,-0.070903786,0.18257242,-0.015991706,0.06289101,-0.016854972,0.9977498
1898832753335383,0.4751317,-0.07494377,0.18093665,-0.017708315,0.06418322,-0.01699102,0.9976362
1898832786904938,0.47822315,-0.07682638,0.16310042,-0.017198546,0.06761903,-0.017326593,0.99741244
1898832820490938,0.48950619,-0.08159126,0.15983497,-0.015741661,0.06940023,-0.016525835,0.9973277
1898832854077938,0.5002394,-0.086891696,0.15477602,-0.015258674,0.069691494,-0.015077144,0.99733794
1898832887687378,0.49742183,-0.083682224,0.12352988,-0.018690104,0.0691334,-0.014739901,0.9973234
1898832921273378,0.5075612,-0.08865805,0.11333467,-0.024955625,0.06749455,-0.01610902,0.9972774
1898832954859378,0.51752365,-0.09370122,0.10236369,-0.030090624,0.06874404,-0.018126547,0.99701566
1898832988493732,0.51438653,-0.09273177,0.073724546,-0.031153299,0.07075474,-0.017781973,0.99684846
1898833022079732,0.52181345,-0.09866572,0.06026449,-0.029948648,0.07065365,-0.015324503,0.99693346
1898833055666732,0.52863073,-0.10512418,0.044998154,-0.03005023,0.0699728,-0.013582438,0.9970037
1898833089267049,0.4666196,-0.08905349,-0.020967469,-0.030652296,0.06920652,-0.011999518,0.9970592
1898833122853049,0.4707729,-0.09484373,-0.040422294,-0.03101579,0.06668523,-0.012245446,0.9972167
1898833156439049,0.47446004,-0.0999525,-0.060853243,-0.030916624,0.063828796,-0.013376385,0.9973922
1898833189934543,0.4861253,-0.10438197,-0.08742148,-0.02961542,0.06372774,-0.015054375,0.99741423
1898833223521543,0.48839873,-0.10798039,-0.10895768,-0.025697803,0.06524832,-0.015760064,0.9974135
1898833257107543,0.48939764,-0.11123415,-0.13189238,-0.021264281,0.06647168,-0.014360428,0.9974582
1898833290713701,0.47329253,-0.10464697,-0.17540641,-0.018189747,0.066237256,-0.0102520585,0.9975855
1898833324299701,0.47232217,-0.10507841,-0.20162189,-0.01534459,0.063322015,-0.0048190355,0.99786353
1898833357885701,0.4721697,-0.10297388,-0.22816226,-0.012295287,0.06283505,-0.0034685135,0.9979421
1898833391570821,0.4005113,-0.06714865,-0.2907605,-0.013668949,0.06529541,-0.00522241,0.9977586
1898833425156821,0.39793867,-0.060615823,-0.31951725,-0.017064637,0.060995407,-0.005885154,0.99797475
1898833458743821,0.39543062,-0.05376724,-0.34600243,-0.012154987,0.05814477,-0.0040444434,0.99822605
1898833492329821,0.39345413,-0.047153287,-0.37092677,-0.0046039987,0.05988142,-0.0033706129,0.9981891
1898833526108858,0.35975373,-0.029974375,-0.38841516,-0.0030703843,0.06010542,-0.002402246,0.9981844
1898833559694858,0.35746792,-0.025047686,-0.41383445,-0.0046688076,0.057029612,-0.0011773705,0.9983608
1898833593259627,0.34973788,-0.021751052,-0.4186989,-0.005734315,0.055354588,-0.0013515353,0.9984493
1898833626845627,0.34860778,-0.01960028,-0.44409853,-0.010197308,0.05464569,-0.004102111,0.9984453
1898833660431627,0.3474669,-0.019067649,-0.470336,-0.015953097,0.053867515,-0.006720364,0.998398
1898833694058323,0.34700134,-0.024627654,-0.4875872,-0.018453145,0.050994463,-0.007062733,0.9985035
1898833727644323,0.34510928,-0.026780909,-0.5141275,-0.017653614,0.047655575,-0.007014662,0.9986832
1898833761230323,0.34368494,-0.029963681,-0.5417625,-0.018470095,0.046445936,-0.008621991,0.99871284
1898833794778602,0.343651,-0.035809465,-0.5701142,-0.019930676,0.046303846,-0.010997713,0.998668
1898833828364602,0.34240365,-0.041095108,-0.59929097,-0.018033594,0.0470687,-0.011419177,0.99866354
1898833861951602,0.3410911,-0.04707317,-0.6289752,-0.012003429,0.048433032,-0.00998047,0.99870443
1898833895635029,0.338416,-0.052931666,-0.67151767,-0.0071401317,0.050134413,-0.009537727,0.9986714
1898833929222029,0.33735037,-0.058445055,-0.7048558,-0.005634336,0.04973711,-0.010776997,0.99868834
1898833962808029,0.33700126,-0.062698126,-0.7384334,-0.0034992527,0.05035989,-0.013728559,0.9986306
1898833996455728,0.3371214,-0.06310622,-0.7817467,2.8070994E-4,0.05590087,-0.01648587,0.99830014
1898834030041728,0.33565393,-0.062005248,-0.8176454,-0.0034478772,0.055392675,-0.018305182,0.9982909
1898834063627728,0.3340956,-0.058016226,-0.8530716,-0.009770967,0.050279766,-0.019975334,0.9984876
1898834097210128,0.33075032,-0.04870384,-0.90355694,-0.006590238,0.058759384,-0.021819562,0.99801195
1898834130796128,0.32748628,-0.04195092,-0.9354941,-0.0022834465,0.07017065,-0.020208418,0.9973276
1898834164382128,0.32260168,-0.03456818,-0.9695379,-0.0050754286,0.06541279,-0.015731037,0.9977214
1898834197659091,0.31451094,-0.02698542,-1.0214121,-0.007986104,0.063199505,-0.013578057,0.9978765
1898834231245091,0.3096684,-0.019588836,-1.0539001,-0.00817834,0.06799984,-0.011807144,0.9975819
1898834264831091,0.30479196,-0.013208049,-1.0865092,-0.0077341124,0.06894915,-0.010571688,0.99753416
1898834298417091,0.2999191,-0.008517265,-1.11971,-0.0075042956,0.06939547,-0.011190057,0.9974983
1898834332106279,0.29275554,-0.007921351,-1.1692013,-0.0069083795,0.07223006,-0.012137026,0.99729013
1898834365692279,0.286748,-0.008135609,-1.2041453,-0.006033972,0.07344193,-0.011697203,0.99721265
1898834399428878,0.27745426,-0.007541124,-1.2544652,-0.004073892,0.072799236,-0.011750579,0.99726915
1898834433014878,0.27079833,-0.01102631,-1.2899365,1.5197322E-4,0.075148106,-0.011596054,0.9971049
1898834466601878,0.26319107,-0.015596926,-1.325676,0.006000288,0.07795691,-0.010125309,0.9968872
1898834500229715,0.25167534,-0.01928205,-1.3851709,0.008444451,0.07629051,-0.008537203,0.99701333
