Timestamp,Tx,Ty,Tz,Qx,Qy,Qz,Qw
2074342432375099,0.12653214,0.056313474,-3.844802,-0.005379862,-9.898816E-4,-0.008556008,0.9999484
2074342465962099,0.12552315,0.056121595,-3.8465207,-0.0059768897,-0.0013291808,-0.008152276,0.999948
2074342499633755,0.12565802,0.054228865,-3.850755,-0.0050269444,-0.0016731505,-0.0068827868,0.99996233
2074342533219755,0.124719985,0.05361872,-3.8533485,-0.0057308716,-0.0012236796,-0.006981015,0.9999584
2074342566806755,0.123724,0.052895136,-3.8564916,-0.007265662,-0.0010192471,-0.0073232055,0.9999463
2074342600365980,0.123028204,0.052817937,-3.8596697,-0.0077186795,-0.0011721312,-0.0071360767,0.999944
2074342633951980,0.12138841,0.05207424,-3.8631916,-0.008045294,-0.0017993122,-0.0068161488,0.9999428
2074342667537980,0.119714335,0.051360432,-3.866957,-0.008659299,-0.0026022738,-0.006955713,0.9999349
2074342701135534,0.118372634,0.05267318,-3.8708873,-0.0087744575,-0.003118734,-0.0070225596,0.999932
2074342734721534,0.11651836,0.051872358,-3.8754096,-0.00860851,-0.0042859893,-0.0064944625,0.9999326
2074342768307534,0.11449812,0.05072261,-3.8807464,-0.00897414,-0.006775351,-0.005578518,0.9999211
2074342801859558,0.11143197,0.05060129,-3.88599,-0.010075245,-0.009837158,-0.004898727,0.99988884
2074342835445558,0.109873846,0.04946017,-3.8924127,-0.011228628,-0.009566488,-0.006071031,0.9998726
2074342869031558,0.10834327,0.048570395,-3.899103,-0.011517887,-0.009060242,-0.007270336,0.9998661
2074342902610492,0.106450655,0.04929206,-3.9069762,-0.010830404,-0.01113957,-0.007196903,0.9998534
2074342936197492,0.10465706,0.048674542,-3.9152648,-0.009881574,-0.012737672,-0.007390797,0.9998427
2074342969783492,0.10311781,0.047943685,-3.9242797,-0.009272814,-0.0127743,-0.007945746,0.9998437
2074343003375867,0.10176414,0.04734293,-3.9342117,-0.009187328,-0.013420558,-0.008138061,0.99983466
2074343036961867,0.10083201,0.046161845,-3.9459393,-0.010981495,-0.014063466,-0.008829385,0.99980175
2074343070547867,0.09993845,0.04482066,-3.9587078,-0.013447984,-0.015037055,-0.008850783,0.9997572
2074343104124019,0.09971428,0.0434548,-3.9714751,-0.014092992,-0.015384202,-0.008380383,0.99974716
2074343137709019,0.09990164,0.041756317,-3.985701,-0.014382697,-0.0153732775,-0.009012014,0.99973774
2074343171296019,0.10081365,0.039338868,-4.0017304,-0.015902169,-0.017052747,-0.010842323,0.9996693
2074343204877931,0.100969955,0.037586357,-4.0203943,-0.018402776,-0.019621616,-0.013254881,0.9995502
2074343238463931,0.10252841,0.033477,-4.039795,-0.020954479,-0.021754451,-0.015036911,0.99943054
2074343272049931,0.104253486,0.028628392,-4.0606303,-0.023580356,-0.02364043,-0.015831262,0.99931693
2074343305616909,0.108149074,0.02311753,-4.0810637,-0.026551088,-0.02576025,-0.016392916,0.9991809
2074343339203909,0.11032138,0.01811816,-4.104936,-0.028349614,-0.027696704,-0.017182678,0.9990665
2074343372789909,0.11251901,0.01353631,-4.129555,-0.027861128,-0.027005838,-0.018035948,0.9990842
2074343406370506,0.11753164,0.008190069,-4.151338,-0.025441498,-0.025333557,-0.018445253,0.99918497
2074343439956506,0.11951144,0.00382991,-4.1790695,-0.02286552,-0.024006395,-0.018700033,0.9992752
2074343473542506,0.121558934,-5.08792E-5,-4.208203,-0.019078856,-0.02290753,-0.019551456,0.9993643
2074343507179523,0.12267531,-0.0052187033,-4.232762,-0.015051351,-0.01945417,-0.021541327,0.9994652
2074343540765523,0.12483376,-0.007375868,-4.2648506,-0.012720159,-0.014708367,-0.023864299,0.999526
2074343574352523,0.12651429,-0.00799415,-4.2991858,-0.014240141,-0.014937996,-0.02514714,0.99947065
2074343608005406,0.12674262,-0.0054130247,-4.336702,-0.016169678,-0.015472847,-0.025737762,0.99941814
2074343641591406,0.12882957,-8.3192147E-4,-4.37037,-0.018337501,-0.012979189,-0.027992815,0.99935555
