Timestamp,Tx,Ty,Tz,Qx,Qy,Qz,Qw
1898636303991603,0.11571002,-0.06710017,-0.3874171,-0.014905168,-0.005183973,-0.0018287599,0.99987376
1898636337577603,0.11497749,-0.066820584,-0.38745922,-0.015982429,-0.005741028,-0.0018802285,0.999854
1898636371152609,0.11374523,-0.06654847,-0.38292888,-0.016051874,-0.006076672,-0.0020242035,0.99985063
1898636404738609,0.11367999,-0.06637982,-0.3829539,-0.017173942,-0.0053554354,-0.0025216937,0.99983495
1898636438324609,0.11372443,-0.066157475,-0.38265133,-0.016995255,-0.0040285955,-0.002649337,0.99984396
1898636471913550,0.11482473,-0.06585655,-0.37972027,-0.016404366,-0.0028653597,-0.0024965703,0.99985814
1898636505498550,0.115107246,-0.06590848,-0.37970093,-0.016122032,-0.002275752,-0.0024092197,0.99986446
1898636539085550,0.115483776,-0.066158056,-0.37990034,-0.01644639,-0.002422559,-0.0022919178,0.9998591
1898636572674053,0.11451235,-0.06601205,-0.37538517,-0.016959494,-0.002745051,-0.0024029315,0.99984956
1898636606260053,0.11540979,-0.06614147,-0.37529927,-0.01698586,-0.0021469141,-0.0029462874,0.9998491
1898636639846053,0.11646688,-0.0662547,-0.37522954,-0.016807673,-0.0016093669,-0.0029309392,0.9998532
1898636673424571,0.114852645,-0.06620612,-0.37130415,-0.016886335,-0.0016905381,-0.002483189,0.99985284
1898636707011571,0.11621685,-0.0663943,-0.37188858,-0.017446393,-0.002292368,-0.0023896694,0.9998423
1898636740597571,0.117731124,-0.06647834,-0.3724943,-0.01740887,-0.0029664435,-0.0023755431,0.99984115
1898636774175284,0.11010337,-0.06644383,-0.36008143,-0.016545929,-0.0041284487,-0.0018624961,0.9998528
1898636807761284,0.111418724,-0.06661478,-0.3607713,-0.015666995,-0.006389697,-4.451275E-4,0.9998567
1898636841347284,0.11304663,-0.06694749,-0.36181492,-0.0146387555,-0.008958658,7.646978E-4,0.9998523
1898636874872676,0.11226473,-0.06683655,-0.35708657,-0.01481899,-0.008419744,6.917119E-5,0.9998548
1898636908458676,0.11461939,-0.06729177,-0.35820618,-0.014226912,-0.00744331,-8.0659986E-4,0.9998708
1898636942045676,0.117017746,-0.06792977,-0.35989144,-0.013906756,-0.007888483,-0.0011955202,0.9998714
1898636975531809,0.11893521,-0.069722295,-0.3599558,-0.015155503,-0.007902698,-0.0016082525,0.99985254
1898637009117809,0.121275485,-0.07092719,-0.3628199,-0.01658799,-0.007388747,-0.0019181967,0.9998332
1898637042703809,0.12360275,-0.07221101,-0.3657576,-0.017357843,-0.004685063,-0.0021324456,0.9998361
1898637076353987,0.1255058,-0.07363379,-0.36849105,-0.01792534,-3.5593286E-4,-0.0023260713,0.9998365
1898637109939987,0.12785026,-0.07519097,-0.37293032,-0.019308962,0.0035916958,-0.0025162697,0.9998039
1898637143524987,0.13011016,-0.0768999,-0.3785211,-0.021615477,0.0068550557,-0.0025393367,0.9997396
1898637177204325,0.12865365,-0.07706309,-0.381699,-0.02414332,0.010202926,-0.002800405,0.99965256
1898637210790325,0.13084263,-0.07852812,-0.38880292,-0.026023112,0.014210317,-0.0036261976,0.9995537
1898637244376325,0.13281845,-0.080028385,-0.39662132,-0.027048578,0.018180942,-0.0041172802,0.9994602
1898637278096209,0.13228145,-0.080127284,-0.40089935,-0.026843496,0.020557199,-0.0031580925,0.99942327
1898637311683209,0.13344646,-0.08157717,-0.41080523,-0.026222283,0.02231565,-0.0019957125,0.999405
1898637345269209,0.13428631,-0.08281163,-0.42260587,-0.028369876,0.023203889,-0.0018528998,0.99932647
1898637378841078,0.13316506,-0.082292125,-0.4309006,-0.03223822,0.021399435,-0.0021986961,0.9992486
1898637412427078,0.13370515,-0.08265381,-0.44474375,-0.03331595,0.020950386,-0.002946347,0.99922085
1898637446013078,0.13377059,-0.083399676,-0.4593195,-0.032485608,0.02368211,-0.0034369826,0.9991856
1898637479599078,0.13311824,-0.0850882,-0.47571868,-0.032010972,0.025781374,-0.00309816,0.99915016
1898637513192671,0.13413821,-0.08915406,-0.49138182,-0.031790774,0.026077744,-0.0019946694,0.99915224
1898637546779671,0.13226224,-0.09282697,-0.51188695,-0.03282456,0.025116263,-7.9125166E-4,0.99914515
1898637580363858,0.1302483,-0.09821416,-0.5302468,-0.034662772,0.02274624,-9.765029E-4,0.9991397
1898637613949858,0.12750447,-0.101551086,-0.5529766,-0.036000475,0.021019198,-0.0021542907,0.9991283
1898637647535858,0.124236114,-0.10373592,-0.57560027,-0.034393474,0.020646533,-0.0032447875,0.99918985
1898637681121858,0.12052455,-0.10469243,-0.5980913,-0.029449977,0.021714568,-0.0040322244,0.9993222
1898637714752023,0.11684056,-0.10523356,-0.61621034,-0.02333813,0.023783905,-0.00429672,0.9994355
1898637748337023,0.112455316,-0.10512944,-0.64077455,-0.018845735,0.025209064,-0.0036291778,0.9994979
1898637781981736,0.10858676,-0.10531245,-0.6624721,-0.01772537,0.02558045,-0.0025489926,0.99951226
1898637815567736,0.103162475,-0.10420714,-0.6900645,-0.019773548,0.024990698,-3.951192E-4,0.999492
1898637849153736,0.09716375,-0.10157139,-0.71771806,-0.020246645,0.026277749,0.002578795,0.9994462
1898637882783256,0.08954984,-0.08998365,-0.7301444,-0.020867568,0.027979612,0.005140543,0.99937737
1898637916369256,0.08387966,-0.08549672,-0.7575053,-0.022119448,0.029458828,0.00957796,0.9992753
1898637949956256,0.07886276,-0.08074179,-0.7838649,-0.019400384,0.03097101,0.01446259,0.9992274
1898637983593131,0.07531201,-0.074621916,-0.8059223,-0.015167612,0.031106312,0.016756654,0.9992604
1898638017179131,0.07264893,-0.07049957,-0.83256364,-0.014760146,0.0282393,0.016140968,0.9993619
1898638050765131,0.070870906,-0.067267045,-0.8597456,-0.017405242,0.023473863,0.0140199065,0.9994746
1898638084319517,0.07021161,-0.06507847,-0.8853834,-0.02252139,0.018512355,0.0111423135,0.99951285
1898638117905517,0.06942544,-0.06390412,-0.9135035,-0.028937766,0.014245348,0.008603632,0.99944264
1898638151491517,0.068550155,-0.06354669,-0.94183004,-0.033131696,0.010135979,0.00770697,0.99936986
1898638185154671,0.06856819,-0.062171303,-0.964357,-0.03230907,0.0054846453,0.008309275,0.9994283
1898638218740671,0.06844744,-0.06356147,-0.99335164,-0.030302111,0.0013473183,0.008057535,0.99950737
1898638252326671,0.06907953,-0.06630786,-1.0238255,-0.030385464,-0.0021305876,0.00602448,0.9995178
1898638285835381,0.069218636,-0.07061632,-1.0512806,-0.030164033,-0.005248092,0.002640754,0.9995277
1898638319422381,0.070908345,-0.07601289,-1.0839866,-0.02928174,-0.007837981,-7.2056055E-4,0.99954027
1898638353008381,0.07248679,-0.082275875,-1.117695,-0.02634935,-0.009188515,-0.0022749603,0.9996079
1898638386615672,0.07533879,-0.08877264,-1.1344434,-0.019665763,-0.008538144,-0.002471298,0.99976707
1898638420202672,0.07744138,-0.09528605,-1.1698021,-0.013013786,-0.0073829293,-0.0041469038,0.99987936
1898638453788672,0.079900384,-0.10099289,-1.207234,-0.01004596,-0.008815567,-0.00767529,0.99988115
1898638487506826,0.08322258,-0.10453031,-1.2455975,-0.008443749,-0.0111218635,-0.011856347,0.9998323
1898638521092826,0.0856043,-0.106193915,-1.2837677,-0.0068354798,-0.007937008,-0.014616609,0.99983823
1898638554679826,0.08809205,-0.10505518,-1.3225299,-0.009051619,-0.0076656374,-0.01587513,0.99980366
